continentLabel,mountainLabel,latitude,longitude
Америка,Salcantay,-13.333611111,-72.544444444
Америка,Ccarhuarazo,-14.33194444,-73.75694444
Америка,Пику да Неблина,0.805494444,-66.005358333
Америка,Pichincha Volcano,-0.177222222,-78.598888888
Америка,Mount Alvernia,24.294166666,-75.408333333
Америка,Pacaya,14.380833333,-90.601111111
Америка,Cayambe,0.0239,-77.9888
Америка,Тупунгато,-33.358555555,-69.770416666
Америка,Тупунгато,-33.358555555,-69.770416666
Америка,Aucanquilcha,-21.220833333,-68.468333333
Америка,Calzada,-15.9325,-68.43777778
Америка,Mont Saint-Bruno,45.555,-73.31
Америка,Victoria Peak,16.8,-88.6
Америка,Mount Saint Elias,60.292222222,-140.931388888
Америка,Pico Duarte,19.033055555,-71.005277777
Америка,Mont Mégantic,45.455833333,-71.152777777
Америка,Barbeau Peak,81.914722222,-75.009166666
Америка,Cerro del Cubilete,21.012,-101.369
Америка,Cerro Las Tórtolas,-29.93894444,-69.90730556
Америка,Cerro Las Tórtolas,-29.933333333,-69.9
Америка,Невадо де Колима,19.511388888,-103.618055555
Америка,Гунбьорн,68.9195,-29.898533333
Америка,Cerro General Belgrano,-29.0146,-67.8264
Америка,Mount Redoubt,60.485277777,-152.743055555
Америка,Grouse Mountain,49.38611111,-123.07638889
Америка,Huayna Picchu,-13.1575,-72.547222222
Америка,Tunupa volcano,-19.83,-67.64
Америка,Huayna Potosí,-16.261944444,-68.148888888
Америка,Volcán de Fuego,14.474722222,-90.880833333
Америка,Серо Бонете,-28.018611111,-68.756111111
Америка,Cerro Paranal,-24.627222222,-70.404722222
Америка,Olca,-20.933333333,-68.483333333
Америка,Humboldt peak,8.549661111,-70.996141666
Америка,Sierra Negra,-0.83,-91.17
Америка,Descabezado Grande,-35.583333333,-70.75
Америка,Pico 31 de Março,0.8,-66.0
Америка,Mount Adam,-51.566666666,-60.066666666
Америка,Маунт Сенери,17.635,-63.239166666
Америка,Серо Ел Муерто,-27.0575,-68.483888888
Америка,El Plomo,-33.232777777,-70.212222222
Америка,El Valle,8.58,-80.17
Америка,"El Yunque, Cuba",20.352222222,-74.573888888
Америка,Puracé,2.314166666,-76.394166666
Америка,Umurata,-18.355555555,-69.049722222
Америка,Volcán Wolf,0.033333333,-91.333333333
Америка,Alcedo Volcano,-0.396583,-91.109104
Америка,Tutupaca,-17.02638889,-70.37166667
Америка,Мурурата,-16.530555555,-67.8275
Америка,Christoffelberg,12.336944444,-69.123333333
Америка,Mount Washburn,44.7975,-110.433333333
Америка,Isla Incahuasi,-20.24277778,-67.62527778
Америка,Thor Peak,66.5333,-65.3167
Америка,Mount Hillaby,13.211111111,-59.583333333
Америка,Katahdin,45.904355555,-68.921275
Америка,Nuevo Mundo volcano,-19.774166666,-66.478333333
Америка,Mont Rougemont,45.476666666,-73.054722222
Америка,Alturas de Nique,7.701666666,-77.7275
Америка,Mount Ellinor,47.5215079,-123.2606613
Америка,Mount Ellinor,47.5215079,-123.2606613
Америка,Mount Seymour,49.393333333,-122.944444444
Америка,Pic la Selle,18.366666666,-71.983333333
Америка,Nevado del Plomo,-33.103323,-70.066001
Америка,Nevis Peak,17.152833333,-62.582833333
Америка,Cumbal,0.955833333,-77.883333333
Америка,Pacha Qullu,-18.7947216,-68.30500031
Америка,Middle Teton,43.73,-110.811
Америка,Pedra da Gávea,-22.998055555,-43.284444444
Америка,Grand Teton,43.7412,-110.802
Америка,Cerro Pachón,-30.240705555,-70.736702777
Америка,Monte San Valentin,-46.595,-73.345833333
Америка,Cerro Mogotón,13.7630361,-86.3986118
Америка,Incahuasi,-27.033333333,-68.3
Америка,Monte Pascoal,-16.916666666,-39.266666666
Америка,Wheeler Peak,36.5569,-105.417
Америка,Siula Grande,-10.293313,-76.892595
Америка,Ishpatina Ridge,47.3167,-80.75
Америка,Tata Sabaya,-19.133333333,-68.5
Америка,Mount Blackburn,61.731908333,-143.439297222
Америка,Wila Qullu,-18.7833,-68.8333
Америка,Ch'alla Qullu,-20.05,-68.66666667
Америка,Мармолехо,-33.717129,-69.864514
Америка,Morne Watt,15.307,-61.305
Америка,Mount Moran,43.835277777,-110.776388888
Америка,Tacora,-17.716666666,-69.766666666
Америка,Tacora,-17.716666666,-69.766666666
Америка,Tacora,-17.716666666,-69.766666666
Америка,Mount Paget,-54.440833333,-36.555277777
Америка,Serranía del Aguaragüe,-21.383333333,-63.6
Америка,Serranía del Aguaragüe,-21.057222222,-63.490555555
Америка,Jatun Wila Qullu,-19.40194444,-66.57638889
Америка,Kimsa Chata,-18.382777777,-69.048055555
Америка,Los Patos,-27.301111111,-68.808888888
Америка,Ritacuba Blanco,6.494166666,-72.2975
Америка,Чилес,0.82111111,-77.935
Америка,Sara Sara,-15.323527777,-73.449361111
Америка,Conchagua,13.275,-87.845
Америка,Usulután,13.418888888,-88.470833333
Америка,Moyuta,14.03,-90.1
Америка,Tecuamburro,14.156111111,-90.406944444
Америка,Volcán Darwin,-0.183333333,-91.283333333
Америка,Сан Педро,-21.887777777,-68.391388888
Америка,Раул Бланшар,47.3167,-70.8333
Америка,Payun Matru,-36.42,-69.2
Америка,Kimsa Chata,-16.71666667,-68.7
Америка,Solimana,-15.41,-72.893111111
Америка,Kimsa Chata,-18.88333333,-68.85
Америка,Aguas Calientes,-23.368333333,-67.685
Америка,Ticsani,-16.7675,-70.5997
Америка,Q2861446,-24.416944,-67.9875
Америка,Ata volcano,-27.1819,-68.5762
Америка,Salín,-24.3317,-68.0639
Америка,Bottleneck Peak and Moon,39.0603,-110.688
Америка,Pico do Barbado,-13.3,-41.9
Америка,Caichinque,-23.95,-67.733333333
Америка,Cerro Daudet,-50.79,-73.07
Америка,Cerro Daudet,-50.7892,-73.0708
Америка,Cerro Jaua,4.7555,-64.5075
Америка,Q2946759,-17.8094,-64.4769
Америка,Cerro Socopó,10.473,-70.8035
Америка,Cerro Socopó,10.4872,-70.8
Америка,Peak Pantojo,-40.768164,-71.94312215
Америка,Cerro Negro de Mayasquer,0.8275,-77.964444444
Америка,Cerro Soroche,-2.3325,-78.543
Америка,"Chameau, les Saintes",15.85833333,-61.59583333
Америка,Santa Isabel,4.81666667,-75.36666667
Америка,Copiapó volcano,-27.3056,-69.1317
Америка,Copiapó volcano,-27.30583333,-69.13083333
Америка,Cordón de Puntas Negras,-23.742777777,-67.534166666
Америка,Sotará,2.108055555,-76.591944444
